# LBvelMax,UBvelMax,LBvelMin,UBvelMin,BlowerPosition
4.705340362036520840e-01,-9.446918863988673642e-02,6.721461986772581110e-01,-1.949202323432912554e-01,-4.073491598137146674e-02
2.225779844835567012e-01,6.821868715534549210e-01,-4.786530942502786878e-02,8.110099605533420686e-01,9.503063659348727210e-01
-6.036485380772071974e-01,-6.080095958496967157e-02,-7.215845619300693681e-01,9.626796912282395979e-01,-2.400110550047853675e-01
-5.581828992926880506e-01,-4.842958009538080866e-01,2.277086571144519844e-01,-5.050520012551453775e-01,2.883347361022425837e-01
-5.218509225809955243e-01,-4.124257261759596283e-01,7.070211227376952401e-01,3.461963110295722679e-01,-1.252900228253035486e-01
-4.676235116130926794e-01,-7.870025649700274073e-02,8.281546084299420407e-01,-2.294533528673237122e-02,6.302169990199946170e-03
4.864723012105371946e-01,4.059845227007004009e-01,5.830646645375572312e-01,1.293209324070350164e-01,8.097416030223814065e-01
-2.457902554037467713e-01,1.692161410843724401e-01,-1.626584744255679116e-01,9.126931432424578716e-02,7.492904113707021807e-01
-2.845195325705258682e-01,1.471311159575743321e-01,-6.899147087721175797e-01,-4.448515460304405256e-01,2.371197275687797479e-01
4.749401685190375311e-01,6.236127195306282456e-01,9.737438635644952711e-01,-4.244684419661253205e-01,-5.125091373934107519e-01
-8.024156783471905197e-01,8.739212545080266015e-01,1.697119968891147579e-01,4.222125143529109614e-01,-2.851061303749125031e-03
-9.950635510731289379e-01,-8.607332068061692709e-01,2.486395870114366247e-01,-5.412027331318376433e-01,-4.669757166929489056e-01
2.995648724376342997e-01,3.232242462365599867e-01,7.895238965281219379e-01,9.376645705010748788e-01,-6.551985971636924422e-01
-3.088014679175359323e-01,-5.144013118199097789e-02,5.179711068362424786e-01,1.602337258392170227e-01,6.774419540048444155e-01
-2.077054754652651880e-01,-2.791270799745084741e-01,8.371176142359273431e-01,9.909673242389960279e-01,-6.379941726853557427e-01
8.717522194035856042e-01,-6.332602028242646508e-01,2.502542728594883137e-01,-8.076324153050817856e-02,-2.808337194700254447e-01
-5.761753710360322245e-01,-3.765295775592998329e-01,2.126002947845926361e-01,-7.911068351994934300e-01,-8.301191422458538138e-01
1.641648999844360635e-01,-7.384852383323914360e-02,-2.574805874444106024e-01,-3.125180184005216244e-01,-2.287518373036092623e-01
-6.569914427636778242e-01,7.131867298174239256e-01,-5.864218071217754957e-01,3.831779191795408046e-01,-8.954932136413344956e-01
-7.330299762721848023e-01,3.514461055912330156e-01,1.977164916668898709e-01,2.747731237988582098e-01,7.300681849538301904e-01
-3.489794469542828459e-02,1.518943631630991220e-01,-9.757200568488502146e-01,9.353232446114061460e-01,8.586868142952592819e-01
2.684873228234740949e-03,6.709050259095039603e-01,-2.487038740072360365e-01,4.599941627181181047e-01,7.489031212320040876e-01
7.838839685461571616e-01,-2.813452525158981476e-01,-9.174330058480280048e-01,9.931436684810344140e-01,7.218040976710906609e-01
-6.015918032073233057e-01,-4.393675542893498154e-01,-8.617684972489092488e-01,-2.008022527269757163e-01,-7.160195038898238273e-01
-4.952026522522019469e-01,4.361140914581091987e-01,-8.519531493594412197e-02,-1.204940541337218285e-02,-8.021017539525010509e-01
7.198665217601933897e-01,-4.549120924989054071e-01,7.385107361625684597e-01,5.436430532873235411e-01,6.711294281434689868e-01
-7.095928275231095927e-01,-9.376008616704980536e-01,5.180450967587308941e-01,-9.173441211802377815e-01,-9.063214280206133289e-02
-4.539967534193114496e-01,6.149953330826332110e-01,-7.348840563252343472e-01,-8.739969438071752972e-01,-7.730267171620759381e-01
-6.195761152014094275e-01,4.214974155840400805e-01,9.955445446666071341e-01,-4.361538642458651083e-02,6.062027971519041714e-01
-4.652526164556958221e-02,-8.811340077210734201e-01,5.666741101816417103e-01,4.051407778909832391e-01,-8.249717253212487389e-01
-8.455740197152783466e-03,9.569494194683096921e-01,4.696126854328919187e-02,-8.087734013586940218e-01,-5.035446800872700468e-01
-8.425607151304359554e-02,-1.312178950062206084e-01,7.036726122232368485e-01,-2.985439754533814050e-01,-8.654600536002865496e-01
-8.851719078366737659e-01,1.657339892972160555e-01,-8.472100876351436050e-01,4.158154160986935466e-01,5.069193572857315644e-01
1.882139113533929375e-01,-5.772945073298998420e-01,-2.305279041463568213e-01,5.223894100516035532e-01,-3.965461578168498757e-01
-8.488041430269885890e-01,8.152830549805969440e-01,8.701212525194390590e-01,-2.079202276675231609e-01,-1.289263753207674501e-01
-8.169587497208958826e-01,1.016027183203751516e-01,-3.474244142877225272e-03,8.458805508772904158e-01,-5.533172864516213707e-01
5.575465477477463683e-01,-3.630155457904509220e-01,-9.925573109884857637e-01,2.138441692759946999e-01,2.477761894212986427e-01
6.080690895419231801e-01,-5.540142440945996505e-01,-7.387521148864979459e-01,-9.653535062053664184e-01,5.399924496180248390e-01
-4.250523885819839087e-01,-2.839696726184615105e-01,-3.581269121984167469e-01,2.168243203681707865e-01,5.562493271173867271e-01
-2.886567916784208432e-01,4.568668133049074154e-01,6.501654306368354064e-01,-2.542624575252605545e-02,-2.603282025310089676e-01
8.345888630690401211e-01,4.610884265740933241e-01,-5.026121175947373398e-01,-6.438189155999225477e-01,2.840043665268556783e-01
-2.843236807254485576e-01,3.558941600530414195e-01,1.917097867379877751e-01,4.651629367327239084e-01,-8.352635194160340504e-02
-2.171117634940151753e-01,1.553556977554202412e-01,-7.082354860562960486e-01,1.940905233556786680e-01,2.541061098047971978e-01
-3.349165852332309790e-01,-8.961840581303452957e-01,-9.636463265427406277e-01,5.538613618340666456e-01,2.929611306616068944e-01
3.847558264704884490e-01,7.589962246168375781e-01,-2.745712114066709564e-01,7.632598689530269986e-01,2.246145130404999524e-01
1.188579808282850259e-01,-8.123707792172314424e-01,-3.883563590773804197e-01,5.517405722628980769e-01,7.138347092180477027e-01
-9.883846524505226494e-01,-4.859650923506850795e-01,1.448130601212953561e-01,-2.726672489176129588e-03,-3.455085401608857243e-01
5.798524012051633481e-01,6.638446240614266358e-01,6.512879970291463039e-02,3.092738413342233095e-02,-2.332940478927088002e-01
5.924580955543561345e-01,8.374060113737431532e-01,3.343396525978798994e-01,-5.233444164583160862e-01,-5.366867696037707081e-01
1.612929471819917193e-01,3.891403687561987290e-01,7.789762358745235815e-01,5.078967665369749085e-01,3.275209623375714418e-01
9.300731737468637128e-01,9.332693332973982514e-01,-4.152259402319624648e-01,2.200385875012971226e-01,5.287820361117907542e-01
2.836881708548799619e-01,-5.991979611537203709e-01,-6.519975165280167406e-01,1.230767967567891752e-02,2.106381896048949987e-01
4.709542241544233399e-01,-8.125832557344150331e-01,1.395415099524175417e-01,-6.909346738973904944e-01,-3.587490777019846089e-01
7.622844657256981904e-01,5.144449205962084992e-01,-2.627584859339948675e-01,6.221102460001388668e-01,-8.298488616182388977e-01
