# LBvelMax,UBvelMax,LBvelMin,UBvelMin,BlowerPosition
2.074686082505612650e-01,4.828830253243822312e+00,1.269606314848903683e-01,2.112237819163482300e+00,4.796325420093142666e-01
1.857639670851643499e-01,5.745858291813739527e+00,4.662971029830112468e-03,6.992976771533743197e-01,9.751531829674363605e-01
1.259755283684050320e-01,3.805150022545338295e+00,-7.029244075441891393e-02,9.875529013002470879e-01,3.799944724976073163e-01
1.475182656486879185e-01,3.215373399276599820e+00,9.802346577420247009e-02,1.668260802138024301e+00,6.441673680511212918e-01
2.380119278252481596e-01,3.359510488155065033e+00,1.033922967222909023e-01,1.596787666682944140e+00,4.373549885873482257e-01
2.316681940786576022e-01,3.914326103641402987e+00,1.339627276073308282e-01,1.150426873132411210e+00,5.031510849950999731e-01
2.147725130741074961e-01,5.595449085261588351e+00,1.018404198334039723e-01,1.377495517159486926e+00,9.048708015111907033e-01
1.382976182736554982e-01,4.508033956222812222e+00,2.917068684123091948e-02,1.000385532969694680e+00,8.746452056853510904e-01
5.876595182126621852e-02,4.436177141365835297e+00,3.251106424310271081e-03,9.947837934931125226e-01,6.185598637843898739e-01
2.261509642581432944e-01,5.910359247814979788e+00,1.685978084547558042e-01,1.039521089223095274e+00,2.437454313032946240e-01
1.880818254065570461e-01,5.008466203414849716e+00,4.586057397126593049e-02,-6.132975601092307549e-01,4.985744693481254375e-01
1.478038220445517803e-01,2.213836638717617156e+00,1.019240953577355557e-01,1.796036259136124968e+00,2.665121416535255472e-01
2.758356181778659488e-01,5.284401241792474835e+00,8.206916112775845817e-02,1.314728503082794209e+00,1.724007014181537789e-01
2.098087969755851045e-01,4.114038335309477823e+00,9.378542439166340228e-02,1.268358728855450757e+00,8.387209770024222077e-01
2.832601276355425357e-01,3.873603904572972212e+00,8.416339521164294124e-02,1.710985144496497412e+00,1.810029136573221287e-01
1.709872652094234224e-01,4.421861915167188961e+00,7.906358936247424862e-02,3.321642523639982691e+00,3.595831402649872777e-01
1.317046877184845921e-01,3.359030262625017915e+00,1.108153712384339351e-01,1.488618995302917636e+00,8.494042887707309308e-02
1.086260403355328585e-01,4.553392114234577015e+00,3.987784217558501543e-02,1.774937685734294668e+00,3.856240813481953689e-01
1.105167152467994990e-01,4.912788651962458175e+00,-2.780107667115459813e-02,-2.267715374898138236e-01,5.225339317933275218e-02
1.835103053566319031e-01,4.294139182114664166e+00,5.603299297674607660e-02,2.398008653409653412e-01,8.650340924769150952e-01
9.919415654568529417e-02,4.692943600049220620e+00,-9.433816791545533709e-02,1.237260510559922810e+00,9.293434071476296410e-01
1.481293207351823127e-01,5.509042412092490792e+00,2.129904463370496659e-03,4.963273343639791335e-01,8.744515606160020438e-01
1.079138828392489230e-01,4.861866089772309607e+00,-9.140048400885451840e-02,2.705901847320004716e+00,8.609020488355453304e-01
5.378303763876029348e-02,3.239356865358652193e+00,-2.613673708854214600e-02,1.557459528226701417e+00,1.419902480550880863e-01
1.408779982357369898e-01,4.658968484934961296e+00,4.208293877707419695e-02,3.506262105606343660e-01,9.894912302374947455e-02
2.510332262806230230e-01,4.537498383011834946e+00,9.666892095189066891e-02,2.902234660508551389e+00,8.355647140717344934e-01
1.559373036168612281e-01,2.384005879971143660e+00,1.476717157348849951e-01,2.196808464982637599e+00,4.546839285989693336e-01
3.281174717711780181e-02,4.968496246204638922e+00,2.021144155783533014e-02,1.235102469567386230e-01,1.134866414189620309e-01
2.473736851454313990e-01,4.512670008174650249e+00,1.517352237878900612e-01,2.481777614225304518e-01,8.031013985759520857e-01
2.269244499127133219e-01,3.131773726772820510e+00,8.641037212361500630e-02,2.775175749936040326e+00,8.751413733937563055e-02
1.142574567863942347e-01,5.926968389005311977e+00,9.513479692226362028e-02,5.612013060038245627e-02,2.482276599563649766e-01
2.054400624496546257e-01,4.218917085977626158e+00,1.352944599949927884e-01,1.612570770996287539e+00,6.726997319985672519e-02
8.606976204142031961e-02,3.863429076109150095e+00,-5.551177956844903505e-02,3.662271082175019288e-01,7.534596786428657822e-01
1.530666800879444955e-01,3.822272150358543286e+00,8.277390827841485388e-04,2.554155672348242589e+00,3.017269210915750621e-01
2.266161138685677534e-01,4.874120439443906605e+00,1.474081366353200695e-01,-5.717287254978842270e-01,4.355368123396162749e-01
1.919466031295767872e-01,3.835445327759666956e+00,7.358548041847753907e-03,5.306371727985417230e-01,2.233413567741893146e-01
6.143647736495116279e-02,4.513023229062069319e+00,-5.994793956264831553e-02,2.602069866433422529e+00,6.238880947106493213e-01
2.785711320108188657e-02,4.277047723400023926e+00,2.439246382161852980e-02,2.939090455683822434e+00,7.699962248090124195e-01
1.250285247985668535e-01,3.648993102490323714e+00,3.346092761749783207e-03,1.500902120345708468e+00,7.781246635586933635e-01
2.137452307760572545e-01,4.896643428278940391e+00,1.162878553513098379e-01,5.260429883642179227e-01,3.698358987344955162e-01
6.754784246053013863e-02,6.026221502930180662e+00,3.192973402052239756e-02,1.642956223207900468e+00,6.420021832634278391e-01
1.924291255104349785e-01,4.749517559354114127e+00,4.591283183716257654e-02,6.818350791949892020e-01,4.582368240291982975e-01
8.888097756215432299e-02,4.515921783139114964e+00,-3.052807477341353687e-02,1.049854689872854463e+00,6.270530549023985989e-01
8.132843543742927783e-02,2.820807327571251300e+00,-7.405770074597740893e-02,2.509359501962286743e+00,6.464805653308034472e-01
1.607058723069842432e-01,6.023250163395744927e+00,-1.562011458831845390e-02,7.462614895452324149e-01,6.123072565202499762e-01
1.387513927054068730e-01,3.400301812002437973e+00,-1.642266452088295137e-02,2.837414149654132078e+00,8.569173546090238514e-01
1.643449723876707347e-01,2.782667709023449731e+00,6.461763963658834209e-02,1.240562986075504748e+00,3.272457299195571379e-01
1.580592491769625685e-01,6.075619337297302636e+00,5.496651076362034372e-02,1.084085465113023172e+00,3.833529760536455999e-01
1.572667444368721912e-01,6.348567112614970753e+00,1.096011860827037915e-01,8.363490784937415157e-01,2.316566151981146460e-01
2.532924619143011036e-01,5.245003500316290257e+00,1.025027852606036211e-01,1.077582394047693626e+00,6.637604811687857209e-01
1.194793353518686096e-01,6.829977173692961756e+00,-2.524523398261098450e-03,1.030169173800766114e+00,7.643910180558953771e-01
8.541563233098227459e-02,3.884891229124299628e+00,-1.581513563658562549e-02,2.682485112585460740e+00,6.053190948024474993e-01
1.294074173003722239e-01,3.752079340552800790e+00,9.850088469011128445e-02,3.189829107756045889e+00,3.206254611490076956e-01
1.548296637066074732e-01,6.033951846620011494e+00,-7.381360893406435641e-03,1.490617084831385331e+00,8.507556919088055114e-02
2.205329075386224247e-01,3.348075583395422772e+00,1.687716216686738768e-01,1.349701820774809047e+00,2.949979102525039920e-01
2.869639237662822695e-01,4.284575953143114901e+00,1.029129369844357100e-01,9.645971450242059042e-01,1.990223498235371702e-01
